trial_id,trial_index,condition_label,condition_name,pupil_valid_trial,eye_valid_trial,aom_valid_trial,pom_valid_trial,pupil_dilation_happened,pupil_baseline_min,pupil_response_max,pupil_dilation_threshold,pupil_dilation_time_sec,pupil_peak_time_sec,eye_movement_happened,eye_baseline_mean,eye_response_max,eye_movement_threshold,eye_movement_time_sec,eye_peak_time_sec,active_locomotion_happened,aom_baseline_mean,aom_response_max,active_locomotion_threshold,active_locomotion_time_sec,aom_peak_time_sec,passive_locomotion_happened,pom_baseline_mean,pom_response_max,passive_locomotion_threshold,passive_locomotion_time_sec,pom_peak_time_sec,active_freezing_happened,active_freezing_time_sec,aom_trough_time_sec,passive_freezing_happened,passive_freezing_time_sec,pom_trough_time_sec
T177,176,1,tilt_left,True,True,True,True,True,0.1060457905584988,0.12523457217928674,0.11134808008642375,2.35,3.9000000000000004,True,0.0025817776282289285,0.07023138612582985,0.0038726664423433927,2.1,3.1500000000000004,True,0.1212786416083977,1.2665498466103806,0.18191796241259656,2.2,2.9000000000000004,True,0.0008093833553767116,0.46630702753756137,0.0012140750330650674,2.0,2.2,True,2.0,2.0,False,,3.7
T178,177,0,no_tilt,True,True,True,True,True,0.10467997539980614,0.11136643061115545,0.10991397416979645,2.0,2.1,True,0.00263845714832507,0.004620995529159001,0.003957685722487605,2.0,3.35,True,0.031174571616872437,0.20382616696779693,0.04676185742530865,2.75,3.95,True,0.0008054072013949718,0.008748487529760013,0.0012081108020924576,2.0500000000000003,3.35,True,2.0,2.35,True,2.0,2.35
T179,178,0,no_tilt,True,True,True,True,True,0.09834603429110755,0.1141690368524343,0.10326333600566294,2.0500000000000003,2.5,True,0.002396212601307149,0.00494021651410875,0.0035943189019607235,2.1,2.1,True,0.04625246827448011,0.20440671269716637,0.06937870241172017,3.2,3.95,True,0.000804343908543621,0.008753292086445286,0.0012065158628154315,2.0500000000000003,3.35,True,2.0,2.7,True,2.0,2.35
T180,179,2,tilt_right,True,True,True,True,True,0.10086391128532021,0.1129160890145707,0.10590710684958622,3.3000000000000003,3.35,True,0.0023152447245389073,0.0302044859333082,0.003472867086808361,2.2,2.25,True,0.126154624678469,0.35042357764882043,0.1892319370177035,2.0,2.15,True,0.000852020898920193,0.49039802218913997,0.0012780313483802897,2.0500000000000003,2.25,True,2.3000000000000003,2.9000000000000004,True,2.0,2.0
T181,180,2,tilt_right,True,True,True,True,True,0.09390354802903289,0.11269135663946635,0.09859872543048454,2.0,3.1500000000000004,True,0.0020485967346940215,0.06140259811847175,0.0030728951020410323,2.2,3.35,True,0.007966185661241932,0.41394908102647227,0.011949278491862898,2.0500000000000003,3.95,True,0.0008409042593886367,0.49081535670945164,0.001261356389082955,2.0500000000000003,2.25,True,2.0,2.0,True,2.0,2.0
T182,181,0,no_tilt,True,True,True,True,True,0.09130846602307705,0.10579900129526515,0.0958738893242309,2.0,3.1500000000000004,True,0.001745480070572025,0.04865428700556634,0.0026182201058580377,2.0,2.2,True,0.01111527749203738,0.39282925670998653,0.01667291623805607,2.15,2.5500000000000003,True,0.0007985895371465391,0.008418552162730656,0.0011978843057198086,2.0500000000000003,3.35,True,2.0,2.0,True,2.0,3.0500000000000003
T183,182,0,no_tilt,True,True,True,True,True,0.0943696388497289,0.1033989021350792,0.09908812079221535,2.0,2.0,True,0.002367167585545439,0.0044950885648065,0.0035507513783181585,2.0,2.95,True,0.009802071338995157,0.03100226588429523,0.014703107008492736,2.0,3.5,True,0.0007944049177623118,0.008404123858122167,0.0011916073766434676,2.0500000000000003,3.35,True,2.0500000000000003,3.1500000000000004,True,2.0,3.0500000000000003
T184,183,2,tilt_right,True,True,True,True,True,0.08728358541153206,0.10543938501409575,0.09164776468210867,2.0,3.95,True,0.0029729816512605724,0.020932487145072648,0.004459472476890858,2.2,2.6,True,0.006469551358182696,0.4956602647352294,0.009704327037274044,2.0,3.95,True,0.0008396107686350332,0.4884380148460705,0.0012594161529525497,2.0500000000000003,2.25,False,,2.95,True,2.0,2.0
T185,184,2,tilt_right,True,True,True,True,True,0.0925424766284422,0.10515039826862595,0.09716960045986431,2.2,3.9000000000000004,True,0.0019997223232624587,0.027263765582112198,0.002999583484893688,2.2,3.3000000000000003,True,0.12404816990918854,0.312574866334426,0.18607225486378282,2.1,3.95,True,0.0008398519988678733,0.48577854212454685,0.0012597779983018098,2.0500000000000003,2.25,True,2.0,2.9000000000000004,True,2.0,2.0
T186,185,0,no_tilt,True,True,True,True,True,0.11456655624558701,0.15500514926909945,0.12029488405786637,2.0,2.5,True,0.019918199487376307,0.10824485259122345,0.029877299231064462,2.0,2.8000000000000003,True,0.6762065711486368,1.6117563432226163,1.0143098567229551,2.0,3.95,True,0.0007377338320809504,0.007133180501303914,0.0011066007481214256,2.0500000000000003,3.35,True,2.15,2.5,True,2.3000000000000003,2.35
